Company_Name,Category,Address,Url
Nazareth Hospital,General hospital,"Arbuthnot Rd, near Police Point, Nongkynrih, Laitumkhrah, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Nazareth+Hospital/data=!4m5!3m4!1s0x37507eba5269ca75:0xeba93ef78cda465d!8m2!3d25.571382!4d91.8979556?authuser=0&hl=en&rclk=1
Woodland Hospital,General hospital,"Dhankheti, Malki, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Woodland+Hospital/data=!4m5!3m4!1s0x37507e986d90fc4d:0xfe2d6844b18b0384!8m2!3d25.5662852!4d91.8898463?authuser=0&hl=en&rclk=1
Supercare Hospital,General hospital,"Near Transport Office Law-U-Sib Road & Holy Child Road Near Meghalaya Transport Commissioner Office, Sawlad, Demthring, Shillong, Meghalaya 793021, India",https://www.google.co.kr/maps/place/Supercare+Hospital/data=!4m5!3m4!1s0x37507954709f871d:0x599b39213acda98e!8m2!3d25.5609771!4d91.9113066?authuser=0&hl=en&rclk=1
Civil Hospital Shillong,General hospital,"Laban, Lachumiere, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Civil+Hospital+Shillong/data=!4m5!3m4!1s0x37507e9aaa349c19:0xc17fab4baaf2b2c4!8m2!3d25.5677394!4d91.8810813?authuser=0&hl=en&rclk=1
NEIGRIHMS Emergency Unit,General hospital,"Mawdiangdiang, Shillong, Meghalaya 793018, India",https://www.google.co.kr/maps/place/NEIGRIHMS+Emergency+Unit/data=!4m5!3m4!1s0x37507905672a29d9:0xaa563613e831f91a!8m2!3d25.591218!4d91.9406104?authuser=0&hl=en&rclk=1
NEIGRIHMS Private Ward,Hospital,"HWRR+92H, Mawdiangdiang Shillong, Meghalaya 793018, India",https://www.google.co.kr/maps/place/NEIGRIHMS+Private+Ward/data=!4m5!3m4!1s0x3750790558c08421:0x6c1389365b12aaa4!8m2!3d25.5909262!4d91.9400944?authuser=0&hl=en&rclk=1
Directorate of Health Services,General hospital,"Health Complex, Red Hill Rd, Laitumkhrah, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Directorate+of+Health+Services/data=!4m5!3m4!1s0x37507eec44843553:0x9862791cf34eb312!8m2!3d25.5831176!4d91.8834776?authuser=0&hl=en&rclk=1
Neigrihms Hospital,Hospital,"MDR32, Nongmynsong, Shillong, Meghalaya 793019, India",https://www.google.co.kr/maps/place/Neigrihms+Hospital/data=!4m5!3m4!1s0x375079b725f753fd:0xe55b6a140bdbebc3!8m2!3d25.5880057!4d91.9135255?authuser=0&hl=en&rclk=1
"NEIGRIHMS Ward, Visiting Hours",Hospital,"HWRQ+JPP, Mawdiangdiang, Meghalaya 793018, India","https://www.google.co.kr/maps/place/NEIGRIHMS+Ward,+Visiting+Hours/data=!4m5!3m4!1s0x375079054d613faf:0x3441e6ee712fa60f!8m2!3d25.5915996!4d91.9393337?authuser=0&hl=en&rclk=1"
Nongpoh Civil Hospital,Hospital,"GS Rd, Nongpoh, Meghalaya 793102, India",https://www.google.co.kr/maps/place/Nongpoh+Civil+Hospital/data=!4m5!3m4!1s0x375a890c956e8dc3:0x89ae90f48da22a19!8m2!3d25.9095178!4d91.8768597?authuser=0&hl=en&rclk=1
R P Chest Hospital Compound,Hospital,"HVG8+Q9C, Garikhana, Shillong, Meghalaya 793002, India",https://www.google.co.kr/maps/place/R+P+Chest+Hospital+Compound/data=!4m5!3m4!1s0x37507e66d56ea999:0x163fa41fa6bcb594!8m2!3d25.5769273!4d91.8658841?authuser=0&hl=en&rclk=1
Ganesh Das Hospital,Hospital,"Polo hills, Lawmali Rd, Golf Links, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Ganesh+Das+Hospital/data=!4m5!3m4!1s0x37507eec1351104d:0x9073fa1b4ad27a48!8m2!3d25.5837298!4d91.8844084?authuser=0&hl=en&rclk=1
NEIGRIHMS OPD,Hospital,"Neigrihms Circle Rd, Mawdiangdiang, Meghalaya 793018, India",https://www.google.co.kr/maps/place/NEIGRIHMS+OPD/data=!4m5!3m4!1s0x375079055d3fb33b:0xaa51f6e9b31c334!8m2!3d25.5914962!4d91.9393555?authuser=0&hl=en&rclk=1
Civil Hospital Shillong,Hospital,"HVFV+755, Laitumkhrah, Shillong, Meghalaya 793003, India",https://www.google.co.kr/maps/place/Civil+Hospital+Shillong/data=!4m5!3m4!1s0x37507febfe66d515:0x8a76aaaef075d429!8m2!3d25.5731355!4d91.8929979?authuser=0&hl=en&rclk=1
Holy Cross Hospital,Hospital,"MVCP+C28, Meghalaya 793122, India",https://www.google.co.kr/maps/place/Holy+Cross+Hospital/data=!4m5!3m4!1s0x375a81c6d131ec41:0x5ac2c76a61b51449!8m2!3d25.671037!4d91.88509?authuser=0&hl=en&rclk=1
Dr. H. Gordon Roberts Hospital,Hospital,"Jaiaw, Shillong, Meghalaya 793002, India",https://www.google.co.kr/maps/place/Dr.+H.+Gordon+Roberts+Hospital/data=!4m5!3m4!1s0x37507ef4102a218b:0x835074c08232690!8m2!3d25.5848335!4d91.8752718?authuser=0&hl=en&rclk=1
"TB HOSPITAL,SHILLONG",Hospital,"TB Hospital, Shillong, Meghalaya 793012, India","https://www.google.co.kr/maps/place/TB+HOSPITAL,SHILLONG/data=!4m5!3m4!1s0x375079cd05875a71:0xdbad4b77be10c4e9!8m2!3d25.608079!4d91.9425242?authuser=0&hl=en&rclk=1"
shillong robbert hospital,Hospital,"Police Bazar, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/shillong+robbert+hospital/data=!4m5!3m4!1s0x37507ebf70f2b455:0x91608ae99c1f0919!8m2!3d25.5787726!4d91.8932535?authuser=0&hl=en&rclk=1
The Childrens' Hospital,Children's hospital,"Near St John White Hall School, Pohkseh, Shillong, Meghalaya 793014, India",https://www.google.co.kr/maps/place/The+Childrens'+Hospital/data=!4m5!3m4!1s0x37507952ea848dd9:0x2d30adafd45eecb5!8m2!3d25.5658307!4d91.9111941?authuser=0&hl=en&rclk=1
Employees' State Insurance Dispensary,Government hospital,"Lower Lachaumiere, Shillong, Meghalaya 793001, India",https://www.google.co.kr/maps/place/Employees'+State+Insurance+Dispensary/data=!4m5!3m4!1s0x37507e99fe9cea6d:0xe68d7a1cc3956b6!8m2!3d25.5676268!4d91.8857974?authuser=0&hl=en&rclk=1
Jiban Ram Goenka Hospital,Hospital,"HVGC+3HP, Upper Mawprem, Garikhana, Shillong, Meghalaya 793002, India",https://www.google.co.kr/maps/place/Jiban+Ram+Goenka+Hospital/data=!4m5!3m4!1s0x37507e8a0c0acf7d:0xfd0ea2dcefafc868!8m2!3d25.575221!4d91.8714449?authuser=0&hl=en&rclk=1
Bethany Hospital,Hospital,"NSCA Mini Stadium, NH 40, Nongpoh, Meghalaya 793102, India",https://www.google.co.kr/maps/place/Bethany+Hospital/data=!4m5!3m4!1s0x375a890f42555555:0xe212deeb08cf9f88!8m2!3d25.9002117!4d91.8779453?authuser=0&hl=en&rclk=1
