Date,Net
2017-1,4381965.61
2017-2,3024402.13
2017-3,4275189.62
2017-4,2650943.38
2017-5,1079905.66
2017-6,3765873.17
2017-7,2906036.16
2017-8,4711779.96
2017-9,4440804.43
2017-10,5717014.98
2017-11,6334883.91
2017-12,2976986.61
2018-1,5837443.23
2018-2,1472600.88
2018-3,5015488.49
2018-4,5821874.83
2018-5,8465911.52
2018-6,9939037.74
2018-7,6990772.86
2018-8,6479243.55
2018-9,4921570.95
2018-10,7914107.53
2018-11,6618668.59
2018-12,7622183.4
2019-1,3200237.0
2019-2,5460018.0
2019-3,8731290.0
2019-4,8148845.0
2019-5,3566451.0
2019-6,11808532.0
2019-7,6075674.0
2019-8,6935768.0
2019-9,6191946.0
2019-10,11430874.0
2019-11,3255903.0
2019-12,9987357.0
2020-1,3640238.21
2020-2,5516599.2
