Date,IndustryNumeric,TerritoryNumeric,DealScore,LeadScore,ConvertedRate,DealNum,LeadNum,Net
2017-1,98,42,881982767204565.6,8614197.1546554,0.282051282051282,11,28,4381965.61
2017-2,154,41,4.349704298926874e+16,22899881.26448166,0.3666666666666666,11,19,3024402.13
2017-3,380,52,1650797824438201.0,7737407.157942356,0.1239669421487603,15,106,4275189.62
2017-4,851,77,2.011080551575233e+16,174408063.04063734,0.0818965517241379,19,213,2650943.38
2017-5,333,64,365607955810099.1,8588870.449090555,0.1382113821138211,17,106,1079905.66
2017-6,253,47,1749081323296210.8,28270472.634882085,0.1568627450980392,16,86,3765873.17
2017-7,596,92,2916555047336725.0,96394076.70238058,0.0676691729323308,18,248,2906036.16
2017-8,1512,263,3.535208880355665e+16,227998404.75130823,0.1047197640117994,71,607,4711779.96
2017-9,3793,947,4.5695001795578906e+18,4233998091.846279,0.1807479224376731,261,1183,4440804.43
2017-10,681,243,2.4459900304923875e+17,394334584.6495142,0.2459677419354838,61,187,5717014.98
2017-11,363,128,8354463434852765.0,90379812.39895774,0.2661290322580645,33,91,6334883.91
2017-12,1415,138,3066102700903025.0,78447584.39087233,0.0412026726057906,37,861,2976986.61
2018-1,625,145,1908596197215983.5,36610216.80179407,0.1623931623931624,38,196,5837443.23
2018-2,969,154,1.405293087890993e+16,250435668.20762008,0.1563636363636363,43,232,1472600.88
2018-3,678,390,5886098501235210.0,38462215.883093655,0.3933054393305439,94,145,5015488.49
2018-4,672,95,1.1087589440446276e+16,58025890.04935575,0.1683168316831683,34,168,5821874.83
2018-5,425,174,2.989953378410777e+16,134359146.3729161,0.3404255319148936,48,93,8465911.52
2018-6,840,261,3.1086942469687964e+16,134550881.0236846,0.2846153846153846,74,186,9939037.74
2018-7,493,239,3.797325178551842e+16,92313626.91072202,0.38,57,93,6990772.86
2018-8,334,152,3.785129233272873e+16,120995149.14302656,0.3257575757575757,43,89,6479243.55
2018-9,469,100,1.2583780003963308e+16,113681741.84361614,0.1368421052631579,26,164,4921570.95
2018-10,1191,126,8510758491563750.0,91230197.45807464,0.0558659217877094,30,507,7914107.53
2018-11,625,118,2.957009312487198e+16,154629565.82775807,0.1509433962264151,32,180,6618668.59
2018-12,428,90,1.2817053946738042e+16,28386659.74728109,0.2,26,104,7622183.4
2019-1,290,115,2.107315923909436e+17,75329047.57895932,0.3695652173913043,34,58,3200237.0
2019-2,502,128,3864824188675189.0,14282812.467614328,0.1608040201005025,32,167,5460018.0
2019-3,319,142,3.522484510475605e+16,30835434.988357123,0.304,38,87,8731290.0
2019-4,587,140,2.5428398879902216e+16,59300842.47183056,0.1552511415525114,34,185,8148845.0
2019-5,815,133,2.5370808272804e+16,13040483.171573464,0.0925925925925925,30,294,3566451.0
2019-6,275,98,2.0065306985565485e+17,115371639.64156573,0.2857142857142857,22,55,11808532.0
2019-7,1185,212,2.327307945525906e+16,140061635.4579553,0.1477272727272727,52,300,6075674.0
2019-8,551,148,1.8252548246893222e+17,241092331.32526085,0.1822916666666666,35,157,6935768.0
2019-9,264,83,3.10344042706464e+16,77172538.27914536,0.2592592592592592,21,60,6191946.0
2019-10,2670,146,7325642311157939.0,37384370.52451047,0.0482093663911845,35,691,11430874.0
2019-11,637,155,7469754969750762.0,12304483.171381645,0.1434262948207171,36,215,3255903.0
2019-12,804,243,1.334433399530108e+16,39002923.10866918,0.1940298507462686,52,216,9987357.0
2020-1,435,208,5.127684534431554e+16,109546292.10607263,0.4251968503937008,54,73,3640238.21
2020-2,775,231,5.91245186345841e+16,66293054.940614514,0.2845188284518828,68,171,5516599.2
2020-3,1018,243,4.269382058474944e+17,282797995.17507327,0.3413461538461538,71,137,2916595.94
2020-4,69,8,127538364.74589808,150.02049999999994,0.2666666666666666,4,11,0.0
2020-5,360,19,7834288396.68941,383338.247341296,0.1176470588235294,6,45,1154069.64
2020-6,181,54,1.242047561194972e+16,250151.44833547968,0.4,16,24,1676264.26
2020-7,141,24,1.4789996571939222e+16,2088492.3473114616,0.2,8,32,1140181.72
2020-8,146,51,141598986937372.62,30.67857669748261,0.4,14,21,3871571.11
2020-9,162,56,5011138356353044.0,2017698.134752381,0.5277777777777778,19,17,4874997.11
2020-10,320,106,1.4143744579708376e+17,34218898.2540957,0.5285714285714286,37,33,3512864.29
2020-11,228,104,3480303367295589.0,2428772.537557527,0.417910447761194,28,39,2461822.46
2020-12,700,181,8.903363930716992e+16,103283253.5432774,0.2072072072072072,46,176,4163041.96
2021-1,526,182,1.2712748600173645e+17,47077727.4195773,0.2352941176470588,44,143,4387187.0
2021-2,729,149,7.79997357336504e+16,109021125.43743367,0.1578947368421052,39,208,7165330.0
2021-3,951,258,1.733299488631006e+17,83825081.41844192,0.1909090909090909,63,267,8141946.0
2021-4,354,92,5.697968518350914e+16,15481780.22790735,0.2242990654205607,24,83,3958381.0
2021-5,371,84,1.6880280797489832e+16,173442.7755525635,0.1025641025641025,20,175,1894756.0
2021-6,474,51,1094765271556263.8,6670093.826612298,0.0765306122448979,15,181,3082369.0
2021-7,467,170,1.814790785539198e+16,22075659.355198786,0.2272727272727272,40,136,3868979.0
