Company_Name,Category,Address,Url,Latitude,Longitude,State
"Human Fitness - Best Gym In Chandigarh , Gyms in Chandigarh",Gym,"S.C.O, 34-37, Madhya Marg, 9-D, Chandigarh, 160009, India","https://www.google.co.kr/maps/place/Human+Fitness+-+Best+Gym+In+Chandigarh+,+Gyms+in+Chandigarh/data=!4m5!3m4!1s0x390fed9a4c9b5955:0x73c76c2bafe8fe78!8m2!3d30.7451164!4d76.787945?authuser=0&hl=en&rclk=1",30.7451164,76.787945,Chandigarh
Immune Fitness,Gym,"SCO 143-144 (First and Second Floor, Madhya Marg, Sector 9C, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Immune+Fitness/data=!4m5!3m4!1s0x390fed0aabf6c481:0x5f1e050989d1e39e!8m2!3d30.7422215!4d76.7899876?authuser=0&hl=en&rclk=1,30.7422215,76.7899876,Chandigarh
"Burn Gym, Sec 8, Chandigarh",Gym,"1st Floor, SCO 62, 65, Madhya Marg, Sector 8C, Chandigarh, 160009, India","https://www.google.co.kr/maps/place/Burn+Gym,+Sec+8,+Chandigarh/data=!4m5!3m4!1s0x390fed1237470105:0x7f645ffaa7af0f93!8m2!3d30.7390649!4d76.7936501?authuser=0&hl=en&rclk=1",30.7390649,76.7936501,Chandigarh
Body Scapes,Gym,"SCO 100-101, 4th Floor, Magnam Towers, 160022, Sector 34A, Sector 34, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Body+Scapes/data=!4m5!3m4!1s0x390fedb315555555:0x9ad0fd7c3d5c44ea!8m2!3d30.7228085!4d76.7680584?authuser=0&hl=en&rclk=1,30.7228085,76.7680584,Chandigarh
Anytime Fitness,Gym,"SCO 98-99-100 3rd Floor, Bridge Market, 17D, Sector 17, Chandigarh, 160017, India",https://www.google.co.kr/maps/place/Anytime+Fitness/data=!4m5!3m4!1s0x390fed5028787aad:0x432677692bd5d2bb!8m2!3d30.7411678!4d76.7810329?authuser=0&hl=en&rclk=1,30.7411678,76.7810329,Chandigarh
Boost Fitness Gym,Gymnastics center,"S.c.o 3-4, c, Sector 19, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Boost+Fitness+Gym/data=!4m5!3m4!1s0x390fed1b895bc48f:0xdca6f5da016b3f7b!8m2!3d30.7257382!4d76.7956164?authuser=0&hl=en&rclk=1,30.7257382,76.7956164,Chandigarh
Fitness World,Fitness center,"SCO-60/61, 15D, Sector 15, Chandigarh, 160015, India",https://www.google.co.kr/maps/place/Fitness+World/data=!4m5!3m4!1s0x390fed9abac0dccb:0x9aae8eef9fa4038b!8m2!3d30.7539793!4d76.7705941?authuser=0&hl=en&rclk=1,30.7539793,76.7705941,Chandigarh
Women Fitness,Gym,"Sector 17D,, 84, Jan Road, 17G, 17D, Chandigarh, 160017, India",https://www.google.co.kr/maps/place/Women+Fitness/data=!4m5!3m4!1s0x390fed0ae6e40987:0x9605929adcae9ef5!8m2!3d30.7409966!4d76.7822245?authuser=0&hl=en&rclk=1,30.7409966,76.7822245,Chandigarh
Ultimate Fitness Gym | Best Gym in Chandigarh,Gym,"SCO 66 67 68 , TOP FLOOR, Sector 46C, Chandigarh, 160047, India",https://www.google.co.kr/maps/place/Ultimate+Fitness+Gym+%7C+Best+Gym+in+Chandigarh/data=!4m5!3m4!1s0x390fec430a73f6a3:0xd5eedb2ece5b1822!8m2!3d30.6997104!4d76.7655003?authuser=0&hl=en&rclk=1,30.6997104,76.7655003,Chandigarh
Meharban's Fitness Centre,Gym,"S.C.O. - 372, Sector 37 d, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Meharban's+Fitness+Centre/data=!4m5!3m4!1s0x390fede9cd52a959:0x3f6cecff9dd7f903!8m2!3d30.7398491!4d76.7480773?authuser=0&hl=en&rclk=1,30.7398491,76.7480773,Chandigarh
"Urban Gym, Sector 34, Chandigarh",Gym,"SCO 148-149, Basement, Sector 34A, Chandigarh, 160034, India","https://www.google.co.kr/maps/place/Urban+Gym,+Sector+34,+Chandigarh/data=!4m5!3m4!1s0x390fedb27d65f503:0xac7c055648b13df7!8m2!3d30.7218302!4d76.7700369?authuser=0&hl=en&rclk=1",30.7218302,76.7700369,Chandigarh
22 gym,Gym,"SCF143, Sector 40C Rd, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/22+gym/data=!4m5!3m4!1s0x390fed976c8f6fe5:0x42496e89f635707a!8m2!3d30.7366152!4d76.734505?authuser=0&hl=en&rclk=1,30.7366152,76.734505,Chandigarh
Octane Fitness 27,Gym,"SCO 9, 1st and 2nd Floor, Sector 27D, Sector 27, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/Octane+Fitness+27/data=!4m5!3m4!1s0x390fedb1d4475719:0x5fa3d4a4b391b2de!8m2!3d30.7235501!4d76.797169?authuser=0&hl=en&rclk=1,30.7235501,76.797169,Chandigarh
Fitness Edge,Gym,"SCF 58, First Floor, Chandi Path, Block B, CSIO Colony, Sector 30-C, Sector 30, Chandigarh, 160030, India",https://www.google.co.kr/maps/place/Fitness+Edge/data=!4m5!3m4!1s0x390fecfb75cf4745:0x4054b90d529a2083!8m2!3d30.71389!4d76.788434?authuser=0&hl=en&rclk=1,30.71389,76.788434,Chandigarh
Cult Sector 8 Chandigarh,Fitness center,"First & Second Floor, Sco 43, 44, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160008, India",https://www.google.co.kr/maps/place/Cult+Sector+8+Chandigarh/data=!4m5!3m4!1s0x390fedf3e2dc5aa7:0xed02471e2f4e46a5!8m2!3d30.739181!4d76.792753?authuser=0&hl=en&rclk=1,30.739181,76.792753,Chandigarh
Fit Accord,Gym,"SCO 216, First Floor, near CCD, Sector 36-D, Chandigarh, 160036, India",https://www.google.co.kr/maps/place/Fit+Accord/data=!4m5!3m4!1s0x390fedbdb87ecd69:0xfc632fa7ac43da0!8m2!3d30.7339345!4d76.7528072?authuser=0&hl=en&rclk=1,30.7339345,76.7528072,Chandigarh
Best Gym,Gym,"1335, Udyog Path, Sector 18-C, Sector 18, Chandigarh, 160018, India",https://www.google.co.kr/maps/place/Best+Gym/data=!4m5!3m4!1s0x390fedd8e4cff9c1:0xf1fdfb7839a46b91!8m2!3d30.730693!4d76.783044?authuser=0&hl=en&rclk=1,30.730693,76.783044,Chandigarh
The Code Fitness,Fitness center,"45-48, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/The+Code+Fitness/data=!4m5!3m4!1s0x390fed18eb096f09:0x9954009f4d54703b!8m2!3d30.7292899!4d76.8012858?authuser=0&hl=en&rclk=1,30.7292899,76.8012858,Chandigarh
Fitness Point,Gym,"15, Himalaya Marg, Sector 21A, Sector 21, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Fitness+Point/data=!4m5!3m4!1s0x390feda8e803b501:0xc6c21409fe095e21!8m2!3d30.7285241!4d76.7755124?authuser=0&hl=en&rclk=1,30.7285241,76.7755124,Chandigarh
Fitness Point,Gym,"S.C.O. 45, Top Floor, Sector 21C, Chandigarh, 160022, India",https://www.google.co.kr/maps/place/Fitness+Point/data=!4m5!3m4!1s0x390feda975b5b535:0x6f3b4d9c692be791!8m2!3d30.7263927!4d76.7768585?authuser=0&hl=en&rclk=1,30.7263927,76.7768585,Chandigarh
Powerzone Gym Chandigarh,Gym,"S.C.O. 2913-14, opposite JW Marriott, 22C, Chandigarh 160020, India",https://www.google.co.kr/maps/place/Powerzone+Gym+Chandigarh/data=!4m5!3m4!1s0x390fedec8d134ea7:0xaa50aee65402b8d6!8m2!3d30.730585!4d76.77297?authuser=0&hl=en&rclk=1,30.730585,76.77297,Chandigarh
Flexity,Gym,"Showroom No. 4, Madhya Marg, Sector 26, Chandigarh, 160026, India",https://www.google.co.kr/maps/place/Flexity/data=!4m5!3m4!1s0x390fed18a46eb0f3:0xd0965b1bc4de23d0!8m2!3d30.7287505!4d76.8024165?authuser=0&hl=en&rclk=1,30.7287505,76.8024165,Chandigarh
Women Alive,Gym,"SCF-37, Sector 18D, Sector 18, Chandigarh, 160018, India",https://www.google.co.kr/maps/place/Women+Alive/data=!4m5!3m4!1s0x390fed2d77d6f187:0x989e31ea5bf0b7b4!8m2!3d30.7343561!4d76.7869792?authuser=0&hl=en&rclk=1,30.7343561,76.7869792,Chandigarh
Anytime Fitness,Fitness center,"SCO 107-108, 1st & 2nd floor, Himalaya Marg, above Honda showroom, 43B, Chandigarh, 160044, India",https://www.google.co.kr/maps/place/Anytime+Fitness/data=!4m5!3m4!1s0x390fed4348bab429:0xcd7d5790b5cd7f65!8m2!3d30.7171971!4d76.7530493?authuser=0&hl=en&rclk=1,30.7171971,76.7530493,Chandigarh
GYM 13,Gym,"SCO 10, 20C, Sector 20, Chandigarh, 160020, India",https://www.google.co.kr/maps/place/GYM+13/data=!4m5!3m4!1s0x390fed003a7c5447:0x2608f08309d1c9a1!8m2!3d30.7208768!4d76.7819657?authuser=0&hl=en&rclk=1,30.7208768,76.7819657,Chandigarh
Valentine Fitness Hi-Tech Gym,Gym,"SCO 38-39, (opp.Hotel park plaza), Sector 17A, Sector 17, Chandigarh, 160017, India",https://www.google.co.kr/maps/place/Valentine+Fitness+Hi-Tech+Gym/data=!4m5!3m4!1s0x390fed74b01b0b4b:0xb1050855a15a6789!8m2!3d30.74362!4d76.7845114?authuser=0&hl=en&rclk=1,30.74362,76.7845114,Chandigarh
9ROUND,Gym,"SCO 3A, Madhya Marg, Sector 7-C, Sector 26, Chandigarh, 160019, India",https://www.google.co.kr/maps/place/9ROUND/data=!4m5!3m4!1s0x390fed9761f1691d:0x6103595bdf969ebf!8m2!3d30.728231!4d76.8022244?authuser=0&hl=en&rclk=1,30.728231,76.8022244,Chandigarh
Hox Fitness,Gym,"Hotel Mountview, Sector 10A, Sector 10, Chandigarh, 160011, India",https://www.google.co.kr/maps/place/Hox+Fitness/data=!4m5!3m4!1s0x390fed3a7954a70b:0x6a5fadb8556d846d!8m2!3d30.7540217!4d76.7886644?authuser=0&hl=en&rclk=1,30.7540217,76.7886644,Chandigarh
Octane Fitness Prime/ Best Gym in Chandigarh,Gym,"SCO 45-48, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160009, India",https://www.google.co.kr/maps/place/Octane+Fitness+Prime%2F+Best+Gym+in+Chandigarh/data=!4m5!3m4!1s0x390fed47cd0b326b:0x505cbe81872e1df0!8m2!3d30.7390553!4d76.7928769?authuser=0&hl=en&rclk=1,30.7390553,76.7928769,Chandigarh
