Company_Name,Category,Address,Url,latitude,longtitude
FITPASS,Physical fitness program,"2E/8, Second Floor, Jhandewalan Extension, Jhandewalan, New Delhi, Delhi 110055, India",https://www.google.co.kr/maps/place/FITPASS/data=!4m5!3m4!1s0x390cfd60ab1d8cf7:0x9cbaa302b5ab7b0e!8m2!3d28.6449131!4d77.201224?authuser=0&hl=en&rclk=1,28.6449131,77.201224
The Indian Gym,Fitness center,"The Indian gym, JVTS Garden, gate, Chhatarpur, New Delhi, Delhi 110074, India",https://www.google.co.kr/maps/place/The+Indian+Gym/data=!4m5!3m4!1s0x390d1e30f36b1def:0x8dc46bd9ca0901cf!8m2!3d28.4911124!4d77.168567?authuser=0&hl=en&rclk=1,28.4911124,77.168567
Delhi Gym,Gymnastics center,"F6XG+MPV, Durga Vihar, Devli, Sangam Vihar, New Delhi, Delhi 110062, India",https://www.google.co.kr/maps/place/Delhi+Gym/data=!4m5!3m4!1s0x390ce13a36c724bf:0x204e364f46ff5bd9!8m2!3d28.4992254!4d77.226801?authuser=0&hl=en&rclk=1,28.4992254,77.226801
Anatomy Lifestyle Fitness,Fitness center,"C-2/10, Block C 2, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi 110016, India",https://www.google.co.kr/maps/place/Anatomy+Lifestyle+Fitness/data=!4m5!3m4!1s0x390ce20d519be6ed:0x965ee87cda26988c!8m2!3d28.5508293!4d77.2035475?authuser=0&hl=en&rclk=1,28.5508293,77.2035475
Fitness India,Gym,"B-4, Gali No 4, I P Extension, Patparganj, Delhi, 110092, India",https://www.google.co.kr/maps/place/Fitness+India/data=!4m5!3m4!1s0x390ce35442053fed:0xe59bd90f96836ae4!8m2!3d28.6295233!4d77.3123396?authuser=0&hl=en&rclk=1,28.6295233,77.3123396
GFFI Fitness Academy,Physical fitness program,"35, NWA, Club Rd, above OBC Bank, Punjabi Bagh, New Delhi, Delhi 110026, India",https://www.google.co.kr/maps/place/GFFI+Fitness+Academy/data=!4m5!3m4!1s0x390d038626439519:0x4ec8d7ed12bb5737!8m2!3d28.6665265!4d77.1239567?authuser=0&hl=en&rclk=1,28.6665265,77.1239567
My Fitness Kapsule,Gym,"F 4 And F 9, First Floor, Plot Number 16, Pankaj Arcade Sector 5, Main Market, Dwaraka Near Mc Donald's and, above Kotak Mahindra Bank Ltd, New Delhi, Delhi 110075, India",https://www.google.co.kr/maps/place/My+Fitness+Kapsule/data=!4m5!3m4!1s0x390d1ac4af2104d9:0x85b748d976bd554e!8m2!3d28.5946756!4d77.0535485?authuser=0&hl=en&rclk=1,28.5946756,77.0535485
Fitness First,Fitness center,"Select Citywalk Mall, The New Delhi Dome, 5th & 6th Floor, Saket District Centre, New Delhi, Delhi 110017, India",https://www.google.co.kr/maps/place/Fitness+First/data=!4m5!3m4!1s0x390ce1f4d9805413:0x50f2b5f11e11b8e2!8m2!3d28.5284974!4d77.2189807?authuser=0&hl=en&rclk=1,28.5284974,77.2189807
Fitness First Hamilton House,Gym,"Building No. 1 & 2, 1-A, Radial Rd Number 2, Connaught Place, New Delhi, Delhi 110001, India",https://www.google.co.kr/maps/place/Fitness+First+Hamilton+House/data=!4m5!3m4!1s0x390cfd37d3c04285:0xb9bd717604038081!8m2!3d28.632223!4d77.2178333?authuser=0&hl=en&rclk=1,28.632223,77.2178333
Fitness Gym And Health Club,Gym,"Shop No-I-49, Rama Park Road, Bhagwati Garden, Rajouri Garden, Delhi, 110059, India",https://www.google.co.kr/maps/place/Fitness+Gym+And+Health+Club/data=!4m5!3m4!1s0x390d053e36301dab:0x2caa34b4e9acaeb6!8m2!3d28.627555!4d77.03682?authuser=0&hl=en&rclk=1,28.627555,77.03682
Fitness,Gym,"603A, Near East Metro Station, Janakpuri, B1 Market, Pocket B 1, Block B1, Janakpuri, New Delhi, Delhi 110058, India",https://www.google.co.kr/maps/place/Fitness/data=!4m5!3m4!1s0x390d0594cf514e5d:0x2c171585b7904d1b!8m2!3d28.631633!4d77.085183?authuser=0&hl=en&rclk=1,28.631633,77.085183
